date,category_id,weekly_index,keyword_count,row_count
2025-05-11,notebook,61.0,1,1
2025-05-18,notebook,59.0,1,1
2025-05-25,notebook,63.0,1,1
2025-06-01,notebook,58.0,1,1
2025-06-08,notebook,59.0,1,1
2025-06-15,notebook,61.0,1,1
2025-06-22,notebook,61.0,1,1
2025-06-29,notebook,57.0,1,1
2025-07-06,notebook,59.0,1,1
2025-07-13,notebook,62.0,1,1
2025-07-20,notebook,61.0,1,1
2025-07-27,notebook,61.0,1,1
2025-08-03,notebook,70.0,1,1
2025-08-10,notebook,67.0,1,1
2025-08-17,notebook,70.0,1,1
2025-08-24,notebook,71.0,1,1
2025-08-31,notebook,80.0,1,1
2025-09-07,notebook,73.0,1,1
2025-09-14,notebook,75.0,1,1
2025-09-21,notebook,69.0,1,1
2025-09-28,notebook,70.0,1,1
2025-10-05,notebook,74.0,1,1
2025-10-12,notebook,76.0,1,1
2025-10-19,notebook,70.0,1,1
2025-10-26,notebook,70.0,1,1
2025-11-02,notebook,89.0,1,1
2025-11-09,notebook,93.0,1,1
2025-11-16,notebook,87.0,1,1
2025-11-23,notebook,100.0,1,1
2025-11-30,notebook,95.0,1,1
2025-12-07,notebook,96.0,1,1
2025-12-14,notebook,89.0,1,1
2025-12-21,notebook,85.0,1,1
2025-12-28,notebook,72.0,1,1
2026-01-04,notebook,82.0,1,1
2026-01-11,notebook,79.0,1,1
2026-01-18,notebook,77.0,1,1
2026-01-25,notebook,79.0,1,1
2026-02-01,notebook,83.0,1,1
2026-02-08,notebook,94.0,1,1
2026-02-15,notebook,94.0,1,1
2026-02-22,notebook,91.0,1,1
2026-03-01,notebook,71.0,1,1
2026-03-08,notebook,67.0,1,1
2026-03-15,notebook,67.0,1,1
2026-03-22,notebook,68.0,1,1
2026-03-29,notebook,65.0,1,1
2026-04-05,notebook,60.0,1,1
2026-04-12,notebook,52.0,1,1
2026-04-19,notebook,59.0,1,1
2026-04-26,notebook,55.0,1,1
2026-05-03,notebook,51.0,1,1
2026-05-10,notebook,52.0,1,1
